station_name,avg_weekday_entries_2024
Addison Road,1778.0763358778627
Anacostia,4605.725190839695
Archives,6007.9503816793895
Arlington Cemetery,1321.969465648855
Ashburn,1647.9580152671756
Ballston-MU,6898.339694656489
Benning Road,2279.5763358778627
Bethesda,5859.988549618321
Braddock Road,2730.236641221374
Branch Ave,2961.4732824427483
Brookland-CUA,5075.358778625954
Capitol Heights,1604.2251908396947
Capitol South,5620.0687022900765
Cheverly,672.9351145038167
Clarendon,3742.9656488549617
Cleveland Park,3001.835877862595
College Park-U of Md,2798.759541984733
Columbia Heights,10168.339694656488
Congress Heights,1985.7022900763359
Court House,4752.717557251908
Crystal City,6251.297709923664
Deanwood,1286.9541984732825
Downtown Largo,2570.0648854961833
Dulles Airport,3003.202290076336
Dunn Loring,2099.297709923664
Dupont Circle,13117.790076335878
East Falls Church,3162.1335877862593
Eastern Market,4952.969465648855
Eisenhower Ave,1609.6870229007634
Farragut North,11654.278625954199
Farragut West,10837.221374045801
Federal Center SW,2801.0114503816794
Federal Triangle,4584.591603053435
Foggy Bottom-GWU,16068.202290076335
Forest Glen,1128.7671755725191
Fort Totten,8700.58396946565
Franconia-Springfield,3907.4809160305344
Friendship Heights,4742.835877862595
Gallery Place,16147.679389312978
Georgia Ave-Petworth,5356.820610687023
Glenmont,2654.1526717557254
Greenbelt,3872.5687022900765
Greensboro,1181.8053435114505
Grosvenor-Strathmore,2961.6832061068703
Herndon,1128.7328244274809
Huntington,4132.793893129771
Hyattsville Crossing,3742.5763358778627
Innovation Center,1085.7862595419847
Judiciary Square,4343.32824427481
King St-Old Town,4941.221374045802
L'Enfant Plaza,12083.973282442748
Landover,1119.3969465648854
Loudoun Gateway,351.57251908396944
McLean,2161.5038167938933
McPherson Sq,8404.488549618321
Medical Center,3286.022900763359
Metro Center,15767.152671755724
Minnesota Ave,1971.026717557252
Morgan Boulevard,1267.5992366412213
Mt Vernon Sq,4819.977099236641
Navy Yard-Ballpark,11241.240458015267
Naylor Road,1613.5648854961833
New Carrollton,3833.858778625954
NoMa-Gallaudet U,12168.702290076335
North Bethesda,2453.2748091603053
Pentagon,8131.6488549618325
Pentagon City,9599.419847328245
Potomac Ave,2999.7251908396947
Potomac Yard,1844.030534351145
Reston Town Center,1094.9198473282443
Rhode Island Ave,5406.965648854962
Rockville,2846.343511450382
Ronald Reagan Washington National Airport,7388.038167938931
Rosslyn,8733.480916030534
Shady Grove,6719.637404580153
Shaw-Howard U,4290.293893129771
Silver Spring,5172.477099236641
Smithsonian,7241.255725190839
Southern Ave,3023.8625954198474
Spring Hill,850.2519083969465
Stadium-Armory,2428.0152671755727
Suitland,2879.1832061068703
Takoma,4079.1030534351144
Tenleytown-AU,4816.187022900764
Twinbrook,2824.3664122137407
Tysons,2761.6832061068703
U Street,6289.8091603053435
Union Station,16750.64503816794
Van Dorn Street,1743.6832061068703
Van Ness-UDC,4048.2137404580153
Vienna,4654.595419847328
Virginia Sq-GMU,2669.9198473282445
Waterfront,4550.083969465649
West Falls Church,1394.2480916030534
West Hyattsville,3004.087786259542
Wheaton,1825.5114503816794
Wiehle-Reston East,1949.5877862595419
Woodley Park,4876.8702290076335
